Brand,Kellogg's,,,Brand Logo,https://1000logos.net/wp-content/uploads/2020/07/Kelloggs-Logo.png, ,"Resources:
Bulbapedia
Youtube

"
Serie,Game Tip Cards,,,Serie image,https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%202%20-%20Charmander%2004.png, ,
Type,Cards,,,,,,
Year,1999,,,,,,
Language,"English, French",,,,,,"Comments:
Cards were exclusive to Canada. Distributed in Kellogg's cereals, in small packs of 3."
Country,Canada,,,,,,
,,,Collection progress: 20 / 20,,,,
Card #,Pokémon,Pokedex #,In collection?,Price paid (€),Picture url,Comment,
1,Bulbasaur,1,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%201%20-%20Bulbasaur%2001.png,,
2,Charmander,4,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%202%20-%20Charmander%2004.png,,
3,Squirtle,7,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%203%20-%20Squirtle%2007.png,,
4,Pidgey,16,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%204%20-%20Pidgey%2016.png,,
5,Pikachu,25,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%205%20-%20Pikachu%2025.png,,
6,Clefairy,35,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%206%20-%20Clefairy%2035.png,,
7,Jigglypuff,39,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%207%20-%20Jigglypuf%2039.png,,
8,Meowth,52,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%208%20-%20Meowth%2052.png,,
9,Psyduck,54,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%209%20-%20Psyduck%2054.png,,
10,Growlithe,58,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2010%20-%20Growlithe%2058.png,,
11,Poliwag,60,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2011%20-%20Poliwag%2060.png,,
12,Geodude,74,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2012%20-%20Geodude%2074.png,,
13,Slowpoke,79,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2013%20-%20Slowpoke%2079.png,,
14,Doduo,84,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2014%20-%20Doduo%2084.png,,
15,Grimer,88,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2015%20-%20Grimer%2088.png,,
16,Cubone,104,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2016%20-%20Cubone%20104.png,,
17,Horsea,116,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2017%20-%20Horsea%20116.png,,
18,Jynx,124,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2018%20-%20Jynx%20124.png,,
19,Eevee,133,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2019%20-%20Eevee%20133.png,,
20,Snorlax,143,TRUE,"4,5",https://github.com/titorob87/madeleinetest/blob/main/Kellogg's%20Game%20Tip%20Card%20-%2020%20-%20Snorlax%20143.png,,
,,,,,,,
TOTAL,,,,"90,0",,,
